beacon;city;faaId;iata;rwy_num;mag_dec;wmoId;site;runways;name;lat;lid;country;icao;priority;passengers;rwy_len;lon;type;source;state;tz;use;subd;prior;ind;city_icao;country_code;traffic;information;elevation_aerodrome;TOWER_COMMUNICATION;AERODROME_SERVICES;AERODROME_CTR;freqs.RADIO;freqs.ATIS;freqs.DELIVERY/GROUND;freqs.TOWER;freqs.APPROACH;freqs.SAR;freqs.TELEPHONE;freqs.FIC_NAME;freqs.FIC_FREQUENCY;freqs.FIC_NAME_2;freqs.FIC_FREQUENCY_2;url.aviationweather.airport;url.wikipedia;url.website;url.geo;url.wikipedia.aerodrome.image;url.custom_url
;Neustadt-Glewe;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [53.3597221375, 11.615278244], 'elevation': 115.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Neustadt-Glewe Airport;53.3597221375;;Germany;EDAN;;;;11.615278244;;;;Europe/Berlin;public;Mecklenburg-Vorpommern;;;Neustadt-Glewe (EDAN);DE;;;115.0;False;False;False;;;;;;;;;;;;;;;;;
;Nordhausen;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [51.493057251, 10.8333330154], 'elevation': 689.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Nordhausen Airport;51.493057251;;Germany;EDAO;;;;10.8333330154;;;;Europe/Berlin;public;Thuringia;;;Nordhausen (EDAO);DE;;;689.0;False;False;False;;;;;;;;;;;;;;;;;
;Cottbus;;;;;;;[{'id': '11/29', 'dimension': '', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': None}, 'alignment': None, 'number': ['11', '29'], 'length': 1080, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '1080', 'LDA': None, '11': {'latlon': [51.6847229004, 14.4230556488], 'elevation': 279.0, 'heading': '11', 'displaced threshold': None}, '29': {'latlon': [51.6847229004, 14.4230556488], 'elevation': 279.0, 'heading': '29', 'displaced threshold': None}, 'slope': 0, 'properties': None}];Neuhausen Airport;51.6847229004;;Germany;EDAP;;;;14.4230556488;;;;Europe/Berlin;public;Brandenburg;;;Cottbus (EDAP);DE;;;279.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Cottbus-Neuhausen_Airport;http://www.flughafen-cottbus.de/;https://geohack.toolforge.org/geohack.php?pagename=Cottbus-Neuhausen_Airport&params=51_41_2_N_14_25_26_E_region:DE-BB_type:airport;;
;Oppin;;ZHZ;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [51.5522232056, 12.0538892746], 'elevation': 348.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Halle-Oppin Airport;51.5522232056;;Germany;EDAQ;;;;12.0538892746;;;;Europe/Berlin;public;Sachsen-Anhalt;;;Oppin (EDAQ);DE;;;348.0;False;False;False;;;;;;;;;;;;;;;;;
;Pirna;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [50.9791679382, 13.9097223282], 'elevation': 400.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Pirna-Pratzschwitz Airport;50.9791679382;;Germany;EDAR;;;;13.9097223282;;;;Europe/Berlin;public;Saxony;;;Pirna (EDAR);DE;;;400.0;False;False;False;;;;;;;;;;;;;;;;;
;Finsterwalde;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [51.6344451904, 13.6755561829], 'elevation': 384.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Finsterwalde/Heinrichsruh Airport;51.6344451904;;Germany;EDAS;;;;13.6755561829;;;;Europe/Berlin;;Brandenburg;;;Finsterwalde (EDAS);DE;;;384.0;False;False;False;;;;;;;;;;;;;;;;;
;Hoyerswerda;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [51.4511108398, 14.1994438171], 'elevation': 384.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Nardt Airport;51.4511108398;;Germany;EDAT;;;;14.1994438171;;;;Europe/Berlin;public;Saxony;;;Hoyerswerda (EDAT);DE;;;384.0;False;False;False;;;;;;;;;;;;;;;;;
;Riesa;;IES;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [51.2936096191, 13.3561105728], 'elevation': 322.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Riesa-Gohlis Airport;51.2936096191;;Germany;EDAU;;;;13.3561105728;;;;Europe/Berlin;public;Saxony;;;Riesa (EDAU);DE;;;322.0;False;False;False;;;;;;;;;;;;;;;;;
;Eberswalde;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [52.8272209167, 13.693611145], 'elevation': 121.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Eberswalde-Finow Airport;52.8272209167;;Germany;EDAV;;;;13.693611145;;;;Europe/Berlin;public;Brandenburg;;;Eberswalde (EDAV);DE;;;121.0;False;False;False;;;;;;;;;;;;;;;;;
;Roitzschjora;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [51.5777778625, 12.4944438934], 'elevation': 289.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Roitzschjora Airport;51.5777778625;;Germany;EDAW;;;;12.4944438934;;;;Europe/Berlin;public;Saxony;;;Roitzschjora (EDAW);DE;;;289.0;False;False;False;;;;;;;;;;;;;;;;;
;Larz;;REB;;;;;[{'id': '07/25', 'dimension': '', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['07', '25'], 'length': 2380, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '2380', 'LDA': None, '07': {'latlon': [53.30555555555555, 12.735555555555555], 'elevation': '220', 'heading': '072', 'displaced threshold': None}, '25': {'latlon': [53.31333333333333, 12.771666666666668], 'elevation': '220', 'heading': '252', 'displaced threshold': None}, 'dimension2': ['7808 x 164 feet', '2380 x 50 meters'], 'slope': 0, 'properties': 'Concrete'}, {'id': '14/32', 'dimension': '', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['14', '32'], 'length': 1880, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '1880', 'LDA': None, '14': {'latlon': [53.306388855, 12.7522220612], 'elevation': 220.0, 'heading': '14', 'displaced threshold': None}, '32': {'latlon': [53.306388855, 12.7522220612], 'elevation': 220.0, 'heading': '32', 'displaced threshold': None}, 'slope': 0, 'properties': 'Concretedisused'}];Rechlin-Larz Airport;53.306388855;;Germany;EDAX;;;;12.7522220612;;;;Europe/Berlin;public;Mecklenburg-Vorpommern;;;Larz (EDAX);DE;;;220.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Müritz_Airpark;http://www.mueritz-airpark.de;https://geohack.toolforge.org/geohack.php?pagename=M%C3%BCritz_Airpark&params=53_18_23_N_012_45_11_E_type:airport;https://upload.wikimedia.org/wikipedia/commons/d/da/Aerial_image_of_the_M%C3%BCritz_Airpark_airfield.jpg;
;Strausberg;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [52.5805549622, 13.9166669846], 'elevation': 262.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Strausberg Airport;52.5805549622;;Germany;EDAY;;;;13.9166669846;;;;Europe/Berlin;public;Brandenburg;;;Strausberg (EDAY);DE;;;262.0;False;False;False;;;;;;;;;;;;;;;;;
;Trebbin;;;;;;;[{'id': '07/25', 'dimension': '', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['07', '25'], 'length': 4954, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '4954', 'LDA': None, '07': {'latlon': [52.20416666666667, 13.1525], 'elevation': '130', 'heading': '073', 'displaced threshold': '558 Feet'}, '25': {'latlon': [52.208333333333336, 13.167499999999999], 'elevation': '142', 'heading': '253', 'displaced threshold': '787 Feet'}, 'dimension2': ['4954 x 75 feet', '1510 x 23 meters'], 'slope': 0, 'properties': None}, {'id': '12/30', 'dimension': '', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['12', '30'], 'length': 2297, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '2297', 'LDA': None, '12': {'latlon': [52.2036094666, 13.1563892365], 'elevation': 131.0, 'heading': '12', 'displaced threshold': None}, '30': {'latlon': [52.2036094666, 13.1563892365], 'elevation': 131.0, 'heading': '30', 'displaced threshold': None}, 'slope': 0, 'properties': None}];Schonhagen Airport;52.2036094666;;Germany;EDAZ;;;;13.1563892365;;;;Europe/Berlin;public;Brandenburg;;;Trebbin (EDAZ);DE;;;131.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Schönhagen_Airport;http://www.flugplatz-schoenhagen.aero/;https://geohack.toolforge.org/geohack.php?pagename=Sch%C3%B6nhagen_Airport&params=52_12_14_N_013_09_36_E_region:DE_type:airport;https://upload.wikimedia.org/wikipedia/commons/8/8f/EDAZ_Vorfeld_Hallen_und_Terminal.jpg;
;Wulfershausen;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [50.8416671753, 11.0694437027], 'elevation': 1145.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Arnstadt-Alkersleben Airport;50.8416671753;;Germany;EDBA;;;;11.0694437027;;;;Europe/Berlin;public;Thuringia;;;Wulfershausen (EDBA);DE;;;1145.0;False;False;False;;;;;;;;;;;;;;;;;
;Magdeburg;;CSO;1;;;Magdeburg/Cochstedt Arpt;[{'id': '07/25', 'dimension': '8200x150', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['07', '25'], 'length': 8200, 'width': '150', 'TORA': None, 'TODA': None, 'ASDA': '8200', 'LDA': None, '07': {'latlon': [51.856, 11.4167], 'elevation': 594.0, 'heading': '07', 'displaced threshold': None}, '25': {'latlon': [51.856, 11.4167], 'elevation': 594.0, 'heading': '25', 'displaced threshold': None}, 'slope': 0, 'properties': None}, {'id': '26/08', 'dimension': '', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['26', '08'], 'length': 8202, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '8202', 'LDA': None, '26': {'latlon': [51.856, 11.4167], 'elevation': 594.0, 'heading': '26', 'displaced threshold': None}, '08': {'latlon': [51.856, 11.4167], 'elevation': 594.0, 'heading': '08', 'displaced threshold': None}, 'slope': 0, 'properties': None}];Magdeburg/Cochstedt Airport;51.856;;Germany;EDBC;4;0.0;L;11.4167;ARP;Intl;ST;Europe/Berlin;public;Sachsen-Anhalt;0;646;Magdeburg (EDBC);DE;;;594.0;False;True;True;;;;;;;;;;;;https://aviationweather.gov/api/data/airport?ids=EDBC&format=json;https://en.wikipedia.org/wiki/Magdeburg–Cochstedt_Airport;https://cochstedt-airport.de/en/home-english/;https://geohack.toolforge.org/geohack.php?pagename=Magdeburg%E2%80%93Cochstedt_Airport&params=51_51_21_N_011_25_06_E_type:airport_region:DE-C&title=Magdeburg%E2%80%93Cochstedt+Airport;https://upload.wikimedia.org/wikipedia/commons/4/4b/Aerial_image_of_the_Magdeburg-Cochstedt_airport.jpg;
;Prenzlau;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [53.356388092, 13.7836112976], 'elevation': 213.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Emmel Airfield Dedelow Airport;53.356388092;;Germany;EDBD;;;;13.7836112976;;;;Europe/Berlin;;Brandenburg;;;Prenzlau (EDBD);DE;;;213.0;False;False;False;;;;;;;;;;;;;;;;;
;Brandenburg an der Havel;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [52.4375, 12.5900001526], 'elevation': 98.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Brandenburg-Muhlenfeld Airport;52.4375;;Germany;EDBE;;;;12.5900001526;;;;Europe/Berlin;public;Brandenburg;;;Brandenburg an der Havel (EDBE);DE;;;98.0;False;False;False;;;;;;;;;;;;;;;;;
;Fehrbellin;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [52.7933311462, 12.7602777481], 'elevation': 138.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Ruppiner Land Airport;52.7933311462;;Germany;EDBF;;;;12.7602777481;;;;Europe/Berlin;public;Brandenburg;;;Fehrbellin (EDBF);DE;;;138.0;False;False;False;;;;;;;;;;;;;;;;;
;Burg;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [52.2416687012, 11.8561105728], 'elevation': 174.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Burg Airport;52.2416687012;;Germany;EDBG;;;;11.8561105728;;;;Europe/Berlin;public;Sachsen-Anhalt;;;Burg (EDBG);DE;;;174.0;False;False;False;;;;;;;;;;;;;;;;;
;Barth;;BBH;;;;;[{'id': '09/27', 'dimension': '', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['09', '27'], 'length': 1685, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '1685', 'LDA': None, '09': {'latlon': [54.34138888888889, 12.701388888888888], 'elevation': '7', 'heading': '087', 'displaced threshold': '984 Feet'}, '27': {'latlon': [54.34138888888889, 12.719722222222222], 'elevation': '23', 'heading': '267', 'displaced threshold': '771 Feet'}, 'dimension2': ['5528 x 98 feet', '1685 x 30 meters'], 'slope': 0.95, 'properties': None}];Barth Airport;54.3375015259;;Germany;EDBH;;;;12.6997003555;;;;Europe/Berlin;public;Mecklenburg-Vorpommern;;;Barth (EDBH);DE;;;23.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Stralsund–Barth_Airport;http://www.ostseeflughafen-stralsund-barth.de;https://geohack.toolforge.org/geohack.php?pagename=Stralsund%E2%80%93Barth_Airport&params=54_20_17.43_N_12_43_36.38_E_type:airport_region:DE;https://upload.wikimedia.org/wikipedia/commons/a/ac/Tower_Flughafen_Stralsund_Barth_P1060367.JPG;
;Zwickau;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [50.7016677856, 12.4538888931], 'elevation': 1050.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Zwickau Airport;50.7016677856;;Germany;EDBI;;;;12.4538888931;;;;Europe/Berlin;public;Saxony;;;Zwickau (EDBI);DE;;;1050.0;False;False;False;;;;;;;;;;;;;;;;;
;Jena;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [50.9152793884, 11.7144441605], 'elevation': 1247.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Jena-Schongleina Airport;50.9152793884;;Germany;EDBJ;;;;11.7144441605;;;;Europe/Berlin;public;Thuringia;;;Jena (EDBJ);DE;;;1247.0;False;False;False;;;;;;;;;;;;;;;;;
;Kyritz;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [52.918888092, 12.42527771], 'elevation': 131.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Kyritz Airport;52.918888092;;Germany;EDBK;;;;12.42527771;;;;Europe/Berlin;public;Brandenburg;;;Kyritz (EDBK);DE;;;131.0;False;False;False;;;;;;;;;;;;;;;;;
;Laucha an der Unstrut;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [51.2458343506, 11.6933326721], 'elevation': 738.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Laucha Airport;51.2458343506;;Germany;EDBL;;;;11.6933326721;;;;Europe/Berlin;public;Sachsen-Anhalt;;;Laucha an der Unstrut (EDBL);DE;;;738.0;False;False;False;;;;;;;;;;;;;;;;;
;Magdeburg;;;;;;Magdeburg/Sachsen-An;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [52.0736122131, 11.6263885498], 'elevation': 268.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Magdeburg Airport;52.0736122131;;Germany;EDBM;9;;;11.6263885498;;;ST;Europe/Berlin;public;Sachsen-Anhalt;;;Magdeburg (EDBM);DE;;;268.0;False;False;False;;;;;;;;;;;;;;;;;
